vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
12.3826,-46.6999,7.08309,57,-50,-50,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
49.3081,-39.3816,5.65242,89,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-45.6671,49.8661,4.98877,79,-99.9,-99.9,-1,-50,50,3,-99.9,-99.9,-1,-99.9,-99.9,-1
43.4252,-11.3135,3.31407,141033,-50,-50,62,-50,50,47,50,-50,177,50,50,103
21.8195,-36.2481,2.77948,77,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
22.586,-31.2671,-5.14062,92804,-50,-50,63,-50,50,45,50,-50,134,50,50,54
24.9984,33.629,5.444,36031,-50,-50,12,-50,50,26,50,-50,16,50,50,80
-17.269,12.4946,1.90012,88906,-50,-50,58,-50,50,86,50,-50,41,50,50,57
-8.56934,-27.1353,9.42151,34,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
14.4216,10.3345,-0.63036,15478,-50,-50,8,-50,50,8,50,-50,6,50,50,14
2.55555,-44.8266,1.1468,18120,-50,-50,16,-50,50,10,50,-50,10,50,50,10
26.824,-11.5794,-2.13646,56,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-26.7614,42.6757,-0.42236,167,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
6.29612,19.7914,0.966618,104,-50,-50,2,-50,50,1,-99.9,-99.9,-1,-99.9,-99.9,-1
38.8762,-11.9577,7.89137,73,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
6.0996,-43.3923,-0.059397,2921,-50,-50,5,-99.9,-99.9,-1,50,-50,4,50,50,1
39.5325,29.2994,-4.91576,24557,-50,-50,8,-50,50,15,50,-50,12,50,50,52
24.6039,-18.9272,-7.81448,157539,-50,-50,91,-50,50,82,50,-50,208,50,50,114
45.3598,-49.8803,1.15854,5880,-50,-50,1,-99.9,-99.9,-1,50,-50,44,50,50,1
38.5526,22.604,3.42702,75,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-22.7541,-9.87714,-7.09052,12459,-50,-50,8,-50,50,12,50,-50,5,50,50,6
18.0223,-23.6685,2.05514,105,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-1.29353,-13.8898,1.97883,3672,-99.9,-99.9,-1,-50,50,1,50,-50,4,50,50,1
-12.7248,4.74395,-3.41853,172088,-50,-50,134,-50,50,161,50,-50,84,50,50,84
38.6814,-11.8112,6.29522,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
