vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
25.729,34.8438,-6.2343,41,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-19.7313,16.9241,-8.08854,399424,-35,-35,249,-35,35,1220,35,-35,179,35,35,304
-16.2137,31.438,-6.84243,129530,-35,-35,86,-35,35,300,35,-35,53,35,35,116
-3.35841,-9.0395,-4.28751,20528,-35,-35,28,-35,35,19,35,-35,21,35,35,20
-26.0804,-6.23028,7.72809,102,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
0.302121,26.0611,-1.5895,20220,-35,-35,17,-35,35,25,35,-35,12,35,35,20
-30.5463,27.873,0.0643597,14755,-35,-35,10,-35,35,75,35,-35,6,35,35,11
-13.2552,-19.6771,5.98855,107,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
0.545342,-34.4497,0.900224,105,-99.9,-99.9,-1,-35,35,1,-99.9,-99.9,-1,-99.9,-99.9,-1
25.754,-9.75597,-3.856,92595,-35,-35,50,-35,35,163,35,-35,92,35,35,69
33.8973,-1.76884,5.02305,42,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
34.1776,28.8831,6.68409,76,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-8.52261,-27.4883,-3.45406,62,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
9.99231,2.02362,5.50755,18343,-35,-35,6,-35,35,14,35,-35,17,35,35,31
11.2405,-3.38774,1.18337,101,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-29.0982,6.02758,-5.43392,42,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-34.6654,10.1049,-7.91714,114544,-35,-35,110,-35,35,208,35,-35,48,35,35,68
32.8587,16.36,4.55841,80,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-28.2107,-27.7925,4.96583,2244,-35,-35,9,-35,35,2,35,-35,1,-99.9,-99.9,-1
-34.6459,5.74491,7.42199,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-12.6496,-9.33433,-8.82927,64,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-20.8366,-8.71595,9.91725,7182,-35,-35,13,-35,35,6,35,-35,10,35,35,6
-15.7925,1.27824,-7.66621,12035,-35,-35,9,-35,35,12,35,-35,11,35,35,8
12.4131,-5.11738,-6.3249,183898,-35,-35,171,-35,35,129,35,-35,204,35,35,157
-3.11867,-19.3893,0.125525,79,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
4.65994,32.1153,-9.53372,94,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-6.69866,8.36411,8.8319,5809,-35,-35,4,-35,35,9,35,-35,2,35,35,2
-0.926942,31.7226,1.32249,16304,-35,-35,15,-35,35,13,35,-35,5,35,35,23
-28.4878,-13.736,6.24176,17304,-35,-35,38,-35,35,17,35,-35,9,35,35,6
-7.57033,32.9498,-7.84531,120692,-35,-35,53,-35,35,180,35,-35,61,35,35,137
1.98907,-26.7031,-8.63428,25977,-35,-35,34,-35,35,15,35,-35,40,35,35,19
