vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
-9.39274,8.17019,5.46909,28675,-25,-25,29,-25,25,60,25,-25,24,25,25,33
0.461883,2.81748,6.17655,30,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-22.9911,-11.6461,-4.1657,70,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-6.18152,10.4141,2.30438,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
20.5586,19.6994,7.2493,28167,-25,-25,16,-25,25,32,25,-25,29,25,25,138
-22.0739,13.3606,4.65725,34,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-10.2872,-4.16448,0.0414026,66708,-25,-25,110,-25,25,99,25,-25,62,25,25,65
-13.2142,-2.01159,-6.92353,10046,-25,-25,18,-25,25,10,25,-25,5,25,25,15
-16.3736,-6.17231,-9.21243,64,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-13.9953,-20.3069,-3.62317,6407,-25,-25,31,-25,25,5,25,-25,7,25,25,6
-8.46069,-23.6661,0.712541,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-23.3681,-12.7771,-8.90585,94,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
-5.25216,-3.30698,5.02858,108,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
18.3776,22.7485,-2.80577,71114,-25,-25,46,-25,25,69,25,-25,44,25,25,343
19.9464,-5.49832,5.52945,57,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
22.1323,-13.483,-2.50266,5900,-25,-25,2,-25,25,3,25,-25,24,25,25,7
-19.9126,16.3339,-6.05697,189481,-25,-25,272,-25,25,602,25,-25,125,25,25,159
23.6192,9.27726,5.79731,97,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
24.7234,-7.75935,-8.63299,108,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
-13.7198,8.85298,-6.50429,39,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-23.2857,-11.1597,8.69389,5269,-25,-25,20,-25,25,7,25,-25,4,25,25,2
-20.6916,12.1026,0.351389,14501,-25,-25,10,-25,25,20,25,-25,9,25,25,15
0.997846,18.2633,4.88396,154,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
22.1399,-1.1927,-5.06055,158766,-25,-25,162,-25,25,137,25,-25,308,25,25,276
4.22927,-5.05821,-1.28509,180575,-25,-25,185,-25,25,197,25,-25,386,25,25,262
-17.7601,-23.7485,1.42844,5648,-25,-25,31,-25,25,5,25,-25,8,25,25,4
10.4119,-10.6512,8.26969,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
23.9254,4.29602,-3.57626,142,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-21.7318,20.203,4.37717,30626,-25,-25,27,-25,25,145,25,-25,21,25,25,30
-21.0018,7.32298,-1.39005,95755,-25,-25,143,-25,25,267,25,-25,76,25,25,81
5.51772,23.9216,-8.72414,181,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-1.93483,4.98496,-8.54531,44,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
23.8093,7.21527,2.77697,52187,-25,-25,33,-25,25,39,25,-25,61,25,25,133
-17.3976,18.3738,-4.65745,84,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
18.9386,-20.3207,-7.02875,99095,-25,-25,107,-25,25,61,25,-25,491,25,25,104
-10.9383,20.6568,7.88234,16953,-25,-25,8,-25,25,49,25,-25,17,25,25,25
