vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
-3.94478,0.140415,-1.56223,121,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
15.5412,5.02654,28.4101,137,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
32.5847,21.5352,-33.2524,603,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,25,25,1
9.74253,27.825,1.59657,73829,-25,-25,35,-25,25,54,25,-25,41,25,25,94
-33.4386,-10.6702,11.2283,153424,-25,-25,142,-25,25,97,25,-25,72,25,25,76
18.5185,34.43,-6.66543,18447,-25,-25,12,-25,25,12,25,-25,16,25,25,16
30.2474,34.0793,19.9348,54748,-25,-25,19,-25,25,32,25,-25,30,25,25,108
-23.5866,-38.8204,-8.53022,301425,-25,-25,273,-25,25,119,25,-25,178,25,25,130
0.995743,15.7412,-8.46535,43,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
41.0374,-44.8339,8.92296,202395,-25,-25,93,-25,25,68,25,-25,181,25,25,97
23.5479,-2.3077,-16.2983,1426,-25,-25,1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
23.7208,26.2871,-17.5792,58564,-25,-25,35,-25,25,38,25,-25,31,25,25,65
-33.9192,-18.0952,6.35956,2069,-25,-25,1,-99.9,-99.9,-1,25,-25,1,25,25,3
11.7667,-30.6449,-4.4788,10219,-25,-25,2,-25,25,7,25,-25,10,25,25,7
39.5663,25.3181,-12.7779,105,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-39.2302,-1.66745,-33.5796,793344,-25,-25,465,-25,25,1146,25,-25,415,25,25,452
13.06,-30.1472,-21.1757,380547,-25,-25,241,-25,25,170,25,-25,492,25,25,192
43.6374,28.6819,-15.4815,76,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-11.2947,-2.55355,17.8244,175192,-25,-25,109,-25,25,107,25,-25,104,25,25,100
-16.6208,-36.8703,-12.0928,245989,-25,-25,268,-25,25,131,25,-25,157,25,25,98
27.1016,29.5341,-3.46345,38365,-25,-25,11,-25,25,29,25,-25,21,25,25,52
-16.5812,25.366,-34.7753,808738,-25,-25,377,-25,25,684,25,-25,301,25,25,439
34.6662,-34.854,12.9632,536278,-25,-25,310,-25,25,229,25,-25,971,25,25,246
-43.9874,-9.99637,-25.4615,386708,-25,-25,273,-25,25,298,25,-25,132,25,25,162
-20.6666,-16.3652,-11.337,37,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
4.53759,39.0132,7.4988,67,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
19.0419,26.1432,1.66275,184194,-25,-25,91,-25,25,106,25,-25,98,25,25,431
-9.51916,-29.0491,-7.79153,18566,-25,-25,19,-25,25,9,25,-25,16,25,25,6
-39.2637,-44.4975,-2.12451,123,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
20.0129,-41.2066,-9.70022,60,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
21.2373,44.9101,-15.9007,56,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
17.0556,38.2746,-13.3011,72085,-25,-25,39,-25,25,42,25,-25,37,25,25,56
-35.9375,-25.4266,-8.0781,281185,-25,-25,358,-25,25,158,25,-25,151,25,25,120
-37.7764,-42.2687,7.83532,35776,-25,-25,20,-25,25,9,25,-25,19,25,25,12
10.866,-6.93542,14.3973,2096,-25,-25,2,-25,25,1,25,-25,1,25,25,1
-16.6071,10.5677,22.4085,116,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
6.85575,-16.1652,-32.7444,205,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
9.02978,42.6332,32.6752,269,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
21.1833,-30.0543,-2.68935,52021,-25,-25,30,-25,25,18,25,-25,74,25,25,36
-35.3832,-6.94123,-34.3105,175198,-25,-25,167,-25,25,174,25,-25,97,25,25,65
-3.5131,5.20146,-10.2921,7839,-25,-25,7,-25,25,11,25,-25,4,25,25,11
-22.5333,31.5108,-31.3922,1770,-25,-25,1,-99.9,-99.9,-1,25,-25,2,25,25,1
35.9534,-21.641,9.96462,290438,-25,-25,150,-25,25,117,25,-25,552,25,25,140
-13.7752,-41.835,17.9635,68627,-25,-25,68,-25,25,28,25,-25,36,25,25,30
-7.22354,15.8556,4.45799,27886,-25,-25,8,-25,25,20,25,-25,14,25,25,24
3.52797,30.4114,-7.72513,42047,-25,-25,24,-25,25,42,25,-25,22,25,25,44
9.64848,-5.70113,-10.8916,33896,-25,-25,34,-25,25,19,25,-25,17,25,25,19
-24.0525,10.7578,-7.29165,381578,-25,-25,251,-25,25,308,25,-25,220,25,25,231
21.8081,2.86258,-11.3529,495213,-25,-25,225,-25,25,244,25,-25,306,25,25,545
1.06887,-19.2945,-8.95444,138285,-25,-25,141,-25,25,73,25,-25,158,25,25,72
4.78229,-19.8644,23.9569,3743,-99.9,-99.9,-1,-25,25,2,25,-25,6,-99.9,-99.9,-1
36.765,13.753,-2.55847,79,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
28.5198,-8.18814,-20.9347,13741,-25,-25,3,-25,25,10,25,-25,8,25,25,11
2.44604,-17.277,12.1148,2206,-99.9,-99.9,-1,-25,25,2,-99.9,-99.9,-1,25,25,3
9.543,20.8105,29.6433,24,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-28.7563,-33.3079,15.8898,93,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-36.718,31.5145,-25.7137,3917,-25,-25,2,-25,25,3,25,-25,4,25,25,2
-39.8919,-15.643,25.357,9399,-25,-25,6,-25,25,9,25,-25,9,25,25,4
19.331,-2.29228,33.9433,132,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
43.6117,39.3032,13.9736,141718,-25,-25,43,-25,25,69,25,-25,76,25,25,104
-16.7236,-17.213,12.1541,9649,-25,-25,15,-25,25,4,25,-25,6,25,25,5
17.5272,26.2954,22.2288,93,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
9.32977,38.3126,16.7862,117858,-25,-25,49,-25,25,83,25,-25,54,25,25,89
