vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
11.309,-20.8535,15.47,222967,-25,-25,136,-25,25,103,25,-25,384,25,25,129
44.7855,-34.5895,16.0515,156807,-25,-25,92,-25,25,54,25,-25,96,25,25,97
16.9474,-23.836,-15.1409,69,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
37.1196,21.2778,-7.94275,189,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-16.9683,43.9014,7.58376,166,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-14.8334,19.8622,9.923,142419,-25,-25,79,-25,25,227,25,-25,73,25,25,92
-20.4789,8.92901,-27.7492,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
35.9368,41.5384,-33.047,413,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
19.5675,-32.9357,19.7483,253874,-25,-25,177,-25,25,94,25,-25,306,25,25,103
35.4714,-2.03325,11.9796,18940,-25,-25,11,-25,25,6,25,-25,19,25,25,12
20.3433,40.3173,29.7875,119,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-42.3554,31.6296,18.6877,227622,-25,-25,107,-25,25,158,25,-25,81,25,25,103
-43.3146,-18.9935,34.1979,3675,-25,-25,3,-25,25,1,25,-25,3,25,25,1
-18.5169,-7.49606,-22.6823,111589,-25,-25,117,-25,25,99,25,-25,62,25,25,52
22.0841,13.2263,19.3768,27133,-25,-25,14,-25,25,20,25,-25,10,25,25,42
-10.4636,17.8464,3.54228,224,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
22.5272,-42.8532,16.8525,1936,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,4,-99.9,-99.9,-1
-16.896,-44.5862,19.6544,63856,-25,-25,53,-25,25,32,25,-25,40,25,25,26
38.8527,5.13396,-3.56072,59,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-41.0607,-36.1676,-25.8647,174,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-39.9918,-35.9169,-17.4779,26,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
5.95822,25.2383,-18.4338,61,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
13.5993,-37.569,25.7124,126359,-25,-25,64,-25,25,65,25,-25,112,25,25,61
29.25,-44.076,-6.87068,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-33.4638,36.9962,-26.2873,254502,-25,-25,120,-25,25,268,25,-25,94,25,25,129
16.463,4.4212,28.9936,5201,-25,-25,5,-25,25,2,25,-25,3,25,25,4
-28.0385,-5.43385,-15.6516,93,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
15.8615,-1.71946,19.919,3701,-25,-25,4,-99.9,-99.9,-1,25,-25,1,25,25,1
-7.53131,-35.1177,-12.3407,6138,-25,-25,11,-25,25,2,25,-25,4,25,25,2
26.0656,-41.0789,28.6536,22576,-25,-25,10,-25,25,9,25,-25,16,25,25,8
22.9572,-27.2488,2.11563,47,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-4.67463,37.893,18.4255,30,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
12.9556,-37.6901,-15.1017,135,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-11.7374,16.1646,-31.0438,263065,-25,-25,182,-25,25,213,25,-25,142,25,25,210
-13.627,28.0327,-30.3637,144469,-25,-25,54,-25,25,81,25,-25,52,25,25,80
12.1672,-40.4301,30.7292,19707,-25,-25,11,-25,25,9,25,-25,15,25,25,6
-35.5476,-4.51804,-32.8152,101,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
0.250595,-31.3877,-15.6414,155,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-9.11715,-17.7537,-15.4693,587108,-25,-25,769,-25,25,382,25,-25,323,25,25,269
-3.98116,-1.54935,-22.4252,83,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
25.8036,-38.2708,11.8971,290350,-25,-25,133,-25,25,141,25,-25,1451,25,25,165
-30.0597,30.9259,-21.2488,139,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-17.9343,31.7307,-33.9208,450557,-25,-25,245,-25,25,758,25,-25,203,25,25,243
-26.7993,-5.45307,-23.736,357747,-25,-25,317,-25,25,304,25,-25,189,25,25,178
2.64523,11.4389,-11.7859,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
43.8242,-39.3204,-26.9853,95557,-25,-25,41,-25,25,42,25,-25,94,25,25,39
-16.4181,17.7746,-28.1722,1569,-99.9,-99.9,-1,-25,25,2,25,-25,2,-99.9,-99.9,-1
6.97078,37.0343,32.7406,10237,-25,-25,6,-25,25,6,25,-25,6,25,25,7
