vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
18.4758,4.87178,-0.557133,54915,-15,-15,54,-15,15,102,15,-15,94,15,15,149
9.64091,-17.9181,-1.19247,60710,-15,-15,60,-15,15,54,15,-15,988,15,15,66
-0.961985,-4.39377,7.47221,46149,-15,-15,116,-15,15,87,15,-15,112,15,15,76
-22.8676,15.5961,-4.92972,155435,-15,-15,200,-15,15,893,15,-15,109,15,15,173
-9.1166,11.9063,-4.31246,93,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-0.802137,-17.4248,-2.51879,95125,-15,-15,327,-15,15,93,15,-15,202,15,15,109
-23.0597,-2.73859,-8.70693,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
16.9282,16.655,7.65421,34384,-15,-15,24,-15,15,34,15,-15,42,15,15,638
-15.5731,12.6735,-4.73196,71166,-15,-15,97,-15,15,505,15,-15,69,15,15,93
0.199351,22.8825,-3.37295,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-17.974,2.96685,-3.76687,72922,-15,-15,179,-15,15,258,15,-15,69,15,15,85
-1.90761,16.7227,-6.46645,197,-99.9,-99.9,-1,-15,15,2,-99.9,-99.9,-1,15,15,2
0.372931,-7.94364,-1.47165,27431,-15,-15,42,-15,15,45,15,-15,68,15,15,79
-13.4798,-17.2168,4.75657,9297,-15,-15,120,-15,15,8,15,-15,14,15,15,7
0.229342,1.8285,-6.27808,8540,-15,-15,25,-15,15,9,15,-15,13,15,15,15
15.2564,-4.00043,8.62741,35982,-15,-15,43,-15,15,40,15,-15,124,15,15,82
-23.9697,-1.1333,0.578588,611,-15,-15,2,-15,15,1,15,-15,1,-99.9,-99.9,-1
9.63412,19.5027,5.75583,49788,-15,-15,50,-15,15,72,15,-15,61,15,15,313
-24.716,-12.974,-9.31222,132,-15,-15,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-10.1564,8.09443,-0.608976,109155,-15,-15,173,-15,15,924,15,-15,129,15,15,140
1.10338,10.9227,4.17952,2156,-15,-15,3,-15,15,6,15,-15,1,15,15,5
-18.4401,17.0811,0.690347,154,-99.9,-99.9,-1,-15,15,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-9.60392,5.12284,-1.33433,45414,-15,-15,12,-15,15,19,15,-15,12,15,15,15
-8.30052,6.67062,6.38423,140732,-15,-15,274,-15,15,461,15,-15,197,15,15,278
2.35025,-5.96213,4.77486,5384,-15,-15,12,-15,15,12,15,-15,12,15,15,16
-13.1296,-2.69001,7.95568,9726,-15,-15,38,-15,15,22,15,-15,10,15,15,16
-20.1151,-9.8849,-8.90777,36270,-15,-15,171,-15,15,56,15,-15,45,15,15,36
-21.0121,10.5623,-1.42497,39076,-15,-15,65,-15,15,164,15,-15,31,15,15,36
-2.71046,-19.5198,7.73546,165189,-15,-15,459,-15,15,190,15,-15,381,15,15,202
-18.591,20.5534,-1.03993,229796,-15,-15,284,-15,15,1495,15,-15,181,15,15,255
-6.0789,-18.2405,-7.27867,102,-99.9,-99.9,-1,-99.9,-99.9,-1,15,-15,1,-99.9,-99.9,-1
-22.9145,22.4042,-3.76342,49142,-15,-15,65,-15,15,165,15,-15,29,15,15,54
-2.86396,11.709,7.72282,11107,-15,-15,14,-15,15,35,15,-15,15,15,15,35
-17.8025,18.5503,7.48735,33,-99.9,-99.9,-1,-15,15,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-9.03869,10.9826,-2.18734,52492,-15,-15,88,-15,15,401,15,-15,66,15,15,82
-24.0659,-12.2086,8.36668,269427,-15,-15,739,-15,15,429,15,-15,262,15,15,221
-23.1593,14.023,6.61176,33351,-15,-15,39,-15,15,89,15,-15,25,15,15,32
-9.80741,-10.0384,2.19263,205,-15,-15,2,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-15.6079,17.1022,-9.74409,66,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
14.5567,-14.0414,-0.832817,97,-99.9,-99.9,-1,-99.9,-99.9,-1,15,-15,1,-99.9,-99.9,-1
-15.8247,1.75218,5.25244,166,-15,-15,1,-15,15,1,-99.9,-99.9,-1,-99.9,-99.9,-1
9.62561,-4.4076,-1.90625,75148,-15,-15,99,-15,15,101,15,-15,271,15,15,153
21.4376,-2.8788,8.64552,6680,-15,-15,9,-15,15,4,15,-15,15,15,15,19
3.81434,4.41427,-2.50111,172160,-15,-15,262,-15,15,462,15,-15,261,15,15,409
-23.3167,8.28633,-4.08469,24314,-15,-15,47,-15,15,112,15,-15,21,15,15,31
20.3998,5.34089,3.29925,47428,-15,-15,38,-15,15,44,15,-15,94,15,15,193
-18.6168,-13.1875,-1.81713,87,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-3.99413,14.9805,-8.71383,37772,-15,-15,44,-15,15,161,15,-15,47,15,15,101
3.65819,3.7807,-5.63291,18984,-15,-15,28,-15,15,38,15,-15,42,15,15,51
-24.9848,17.7717,7.30223,48,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
21.754,-7.90416,0.463111,129922,-15,-15,67,-15,15,50,15,-15,141,15,15,78
11.515,20.2333,0.207616,18096,-15,-15,12,-15,15,30,15,-15,19,15,15,117
6.95711,-20.1116,-7.00937,937,-15,-15,1,-99.9,-99.9,-1,15,-15,3,-99.9,-99.9,-1
10.0715,2.22769,-4.03293,123638,-15,-15,150,-15,15,170,15,-15,342,15,15,390
19.5722,9.3679,7.05607,96,-15,-15,1,-15,15,1,-99.9,-99.9,-1,15,15,2
13.6073,11.2193,5.34198,165297,-15,-15,150,-15,15,195,15,-15,280,15,15,1600
-7.72871,-22.9402,1.049,2008,-15,-15,6,-15,15,4,15,-15,4,15,15,4
17.2302,22.8602,-8.40166,71618,-15,-15,69,-15,15,91,15,-15,78,15,15,338
-19.0692,12.7146,4.4478,154564,-15,-15,180,-15,15,1302,15,-15,138,15,15,244
2.55755,-14.0792,-4.04036,2118,-15,-15,6,-15,15,5,15,-15,6,15,15,1
-3.82049,5.51449,-6.38018,117,-15,-15,1,-99.9,-99.9,-1,-99.9,-99.9,-1,15,15,1
23.5204,24.6839,2.98502,74,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,15,15,1
-15.7546,6.38453,-2.34239,3090,-15,-15,7,-15,15,15,15,-15,3,15,15,4
22.9268,13.1777,-5.53867,7417,-15,-15,5,-15,15,9,15,-15,9,15,15,39
22.4955,-9.83377,0.254356,446,-99.9,-99.9,-1,-99.9,-99.9,-1,15,-15,1,15,15,1
-15.8555,2.41512,-2.42672,59835,-15,-15,171,-15,15,159,15,-15,72,15,15,71
16.7885,-0.504095,-3.72584,54636,-15,-15,72,-15,15,61,15,-15,136,15,15,149
2.42757,-22.7011,8.69296,83,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
11.293,-15.6335,-1.37183,267135,-15,-15,561,-15,15,246,15,-15,960,15,15,272
4.25977,-2.8272,-6.92667,145550,-15,-15,348,-15,15,198,15,-15,351,15,15,206
4.4924,7.46635,3.81913,341,-15,-15,2,-15,15,1,-99.9,-99.9,-1,15,15,1
9.69904,17.6788,-1.62913,115,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-24.9969,-13.5305,1.17661,50,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-0.336525,-18.1899,1.88802,100513,-15,-15,261,-15,15,111,15,-15,244,15,15,114
-19.4796,-19.3381,-9.95997,87,-99.9,-99.9,-1,-15,15,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-7.92083,-21.3236,-0.891599,214602,-15,-15,831,-15,15,270,15,-15,546,15,15,209
-11.1954,11.9109,9.93628,9568,-15,-15,13,-15,15,34,15,-15,10,15,15,12
-24.1356,-19.4115,0.674532,40,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-1.48367,0.442398,-5.56132,6116,-15,-15,10,-15,15,13,15,-15,19,15,15,14
-9.94825,1.72487,3.31904,50049,-15,-15,109,-15,15,144,15,-15,76,15,15,82
-18.152,7.17667,7.93044,23302,-15,-15,52,-15,15,148,15,-15,21,15,15,31
-15.9063,14.2058,8.34709,6885,-15,-15,9,-15,15,166,15,-15,5,15,15,9
-0.683062,-7.37926,6.75388,74512,-15,-15,191,-15,15,115,15,-15,147,15,15,106
18.5702,-16.3776,3.75322,90032,-15,-15,106,-15,15,63,15,-15,1103,15,15,115
15.9843,-18.4344,-7.38572,123,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-17.724,17.7294,-2.03976,84548,-15,-15,96,-15,15,515,15,-15,72,15,15,122
9.99789,-10.0306,-7.02443,270,-99.9,-99.9,-1,-99.9,-99.9,-1,15,-15,2,15,15,2
2.84114,11.2935,4.60457,29,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
