vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
-3.42207,-3.34777,6.57411,241,-99.9,-99.9,-1,-15,15,1,15,-15,1,-99.9,-99.9,-1
4.74793,-3.08174,-5.66328,22366,-15,-15,46,-15,15,30,15,-15,64,15,15,44
-11.8888,10.4371,1.05466,6991,-15,-15,16,-15,15,50,15,-15,7,15,15,16
-2.23349,-5.00347,5.21215,87,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-4.14242,10.0406,7.70091,68,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,15,15,1
-2.52425,10.4963,-0.0305706,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
3.84017,-7.97072,2.68798,99,-99.9,-99.9,-1,-15,15,1,-99.9,-99.9,-1,15,15,1
2.7996,-7.76811,-2.59646,4589,-15,-15,12,-15,15,13,15,-15,14,15,15,13
3.43285,6.62504,-1.05701,12753,-15,-15,15,-15,15,19,15,-15,35,15,15,29
-11.0474,-11.1401,0.235241,20,-15,-15,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
13.6106,-11.1597,-8.8804,1345,-15,-15,3,-15,15,1,15,-15,9,15,15,3
13.1888,8.43938,8.11588,83,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,15,15,1
-13.0767,-0.555816,-8.84252,168531,-15,-15,355,-15,15,576,15,-15,227,15,15,277
2.07998,3.77092,-4.80204,85,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-8.45745,-7.29163,4.79848,23132,-15,-15,81,-15,15,43,15,-15,31,15,15,23
-3.09559,1.96555,-8.28818,202736,-15,-15,642,-15,15,493,15,-15,323,15,15,257
10.6538,-9.23347,0.105351,24,-99.9,-99.9,-1,-15,15,1,15,-15,1,-99.9,-99.9,-1
-12.5568,9.06332,-6.14197,32327,-15,-15,63,-15,15,162,15,-15,37,15,15,38
0.136794,-14.2762,6.89547,63,-15,-15,1,-15,15,1,15,-15,1,15,15,1
-14.7465,-1.8039,6.1471,5941,-15,-15,16,-15,15,16,15,-15,7,15,15,3
8.53475,13.715,-9.41948,169671,-15,-15,202,-15,15,263,15,-15,280,15,15,909
0.67886,-5.75109,0.510536,35,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-7.80073,2.2822,-7.81775,149,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,15,15,1
8.29613,-10.0969,-3.68225,77,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
14.2882,7.90057,-4.88321,136357,-15,-15,104,-15,15,164,15,-15,219,15,15,761
7.67812,-4.99104,3.81256,43,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
6.76101,-13.9762,-6.79878,160214,-15,-15,287,-15,15,214,15,-15,945,15,15,256
8.49235,-11.2696,-7.35679,82,-99.9,-99.9,-1,-99.9,-99.9,-1,15,-15,2,-99.9,-99.9,-1
-14.8176,0.0877538,-6.28881,114061,-15,-15,280,-15,15,339,15,-15,148,15,15,151
14.7924,-11.8145,5.65242,89,-99.9,-99.9,-1,-99.9,-99.9,-1,15,-15,5,-99.9,-99.9,-1
14.8265,0.41311,8.22696,51,-99.9,-99.9,-1,-99.9,-99.9,-1,15,-15,1,-99.9,-99.9,-1
3.88667,9.39095,-9.12374,315157,-15,-15,653,-15,15,889,15,-15,406,15,15,535
-1.95144,10.6699,-1.73718,45017,-15,-15,65,-15,15,144,15,-15,62,15,15,93
0.65302,-4.60017,-7.76803,24595,-15,-15,53,-15,15,44,15,-15,65,15,15,50
-4.05959,-6.85256,-8.05136,140,-15,-15,2,-99.9,-99.9,-1,15,-15,1,-99.9,-99.9,-1
-13.4616,10.3912,3.11252,194776,-15,-15,349,-15,15,862,15,-15,234,15,15,376
-5.68082,-8.43304,5.98855,318,-15,-15,1,-99.9,-99.9,-1,15,-15,2,15,15,1
0.233718,-14.7642,0.900224,105,-15,-15,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-8.84646,-8.86575,-2.00917,2234,-15,-15,13,-15,15,5,15,-15,6,15,15,4
-12.3841,9.33323,-5.57429,5141,-15,-15,8,-15,15,39,15,-15,6,15,15,12
13.5771,-8.13328,7.14484,77293,-15,-15,97,-15,15,83,15,-15,461,15,15,141
-10.7843,10.2634,-4.94598,77066,-15,-15,111,-15,15,467,15,-15,83,15,15,131
3.20242,-5.74145,5.02367,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
11.3626,12.3631,6.41595,43236,-15,-15,56,-15,15,59,15,-15,72,15,15,315
12.2778,-13.7573,-1.29676,48,-99.9,-99.9,-1,-99.9,-99.9,-1,15,-15,1,-99.9,-99.9,-1
4.59586,-12.3674,-7.92026,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
1.70626,2.33994,-8.71987,60,-15,-15,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-2.3541,12.53,-7.30822,218434,-15,-15,351,-15,15,747,15,-15,257,15,15,558
