vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
30.9408,11.7915,-1.24894,55447,-45,-45,20,-45,45,19,45,-45,53,45,45,69
43.5938,19.3072,-7.37226,110,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,45,45,1
18.8611,28.8874,-5.74886,148,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
10.2187,17.5816,1.40834,2742,-45,-45,3,-45,45,1,45,-45,2,45,45,7
-18.5169,-7.49606,0.0414026,66400,-45,-45,78,-45,45,59,45,-45,38,45,45,33
-23.7856,-3.62085,-6.92353,209275,-45,-45,223,-45,45,208,45,-45,115,45,45,110
-33.0602,2.19122,0.536788,77477,-45,-45,94,-45,45,98,45,-45,50,45,45,35
-19.8624,-30.0207,4.20573,85,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-27.7985,-13.5681,-9.27345,240492,-45,-45,315,-45,45,220,45,-45,143,45,45,118
-30.0142,2.86606,-8.10474,48,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-13.1684,-37.7336,-1.83421,803,-45,-45,1,-45,45,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-40.6322,11.8422,-4.75512,36,-45,-45,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-0.184076,20.5709,7.26652,28,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-20.3869,4.33417,5.76853,111,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-16.5434,-14.8974,0.794547,71,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-37.6453,16.9446,-5.13285,28593,-45,-45,17,-45,45,55,45,-45,24,45,45,13
-15.8616,15.8145,-3.13856,73,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-38.6524,-24.5463,9.0881,22960,-45,-45,47,-45,45,23,45,-45,15,45,45,4
43.0286,-14.6635,-8.1467,89,-99.9,-99.9,-1,-99.9,-99.9,-1,45,-45,1,-99.9,-99.9,-1
7.16117,30.088,-5.20301,35,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
24.4162,-25.7403,-2.2126,45101,-45,-45,32,-45,45,20,45,-45,74,45,45,34
-44.4887,-23.3531,-9.61349,126,-45,-45,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-18.2815,14.57,-1.02941,157201,-45,-45,107,-45,45,239,45,-45,79,45,45,87
