vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3,xpos4,ypos4,photons4,xpos5,ypos5,photons5,xpos6,ypos6,photons6,xpos7,ypos7,photons7,xpos8,ypos8,photons8,xpos9,ypos9,photons9,xpos10,ypos10,photons10,xpos11,ypos11,photons11,xpos12,ypos12,photons12,xpos13,ypos13,photons13,xpos14,ypos14,photons14,xpos15,ypos15,photons15
93.6083,-65.7541,-15.201,257791,-75,-75,102,-75,-25,85,-75,25,78,-75,75,83,-25,-75,133,-25,-25,112,-25,25,92,-25,75,77,25,-75,226,25,-25,157,25,25,119,25,75,99,75,-75,560,75,-25,263,75,25,138,75,75,118
70.0155,-25.6394,12.8902,9183,-75,-75,1,-75,-25,1,-75,25,2,-75,75,4,-25,-75,2,-25,-25,5,-25,25,3,-25,75,2,25,-75,3,25,-25,6,25,25,5,25,75,2,75,-75,17,75,-25,41,75,25,12,75,75,5
21.4753,64.8499,12.7618,44,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-8.8399,73.3567,-17.0331,279162,-75,-75,106,-75,-25,118,-75,25,152,-75,75,246,-25,-75,109,-25,-25,110,-25,25,168,-25,75,392,25,-75,90,25,-25,124,25,25,163,25,75,355,75,-75,97,75,-25,109,75,25,150,75,75,200
63.8107,-31.1247,15.0552,2434,-75,-75,1,-75,-25,2,-99.9,-99.9,-1,-75,75,1,-25,-75,1,-25,-25,2,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-75,2,25,-25,1,25,25,2,-99.9,-99.9,-1,75,-75,1,75,-25,8,75,25,2,75,75,2
-20.0218,-26.8513,-9.00721,93974,-75,-75,71,-75,-25,65,-75,25,51,-75,75,39,-25,-75,64,-25,-25,144,-25,25,74,-25,75,35,25,-75,50,25,-25,69,25,25,46,25,75,46,75,-75,42,75,-25,45,75,25,45,75,75,27
41.5631,-5.69991,-11.957,199952,-75,-75,85,-75,-25,80,-75,25,79,-75,75,76,-25,-75,88,-25,-25,101,-25,25,98,-25,75,81,25,-75,122,25,-25,223,25,25,190,25,75,101,75,-75,130,75,-25,183,75,25,151,75,75,103
-28.6357,74.8373,20.6658,108,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-82.9025,28.7305,-12.3652,49,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
13.4498,-50.2092,-5.8491,105519,-75,-75,51,-75,-25,59,-75,25,41,-75,75,40,-25,-75,91,-25,-25,85,-25,25,60,-25,75,41,25,-75,123,25,-25,122,25,25,46,25,75,43,75,-75,79,75,-25,56,75,25,47,75,75,37
5.39891,-72.4798,-23.6097,265122,-75,-75,182,-75,-25,150,-75,25,109,-75,75,99,-25,-75,330,-25,-25,155,-25,25,121,-25,75,94,25,-75,369,25,-25,165,25,25,108,25,75,85,75,-75,185,75,-25,152,75,25,124,75,75,104
31.7374,94.9032,-23.5997,100,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
