vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3,xpos4,ypos4,photons4,xpos5,ypos5,photons5,xpos6,ypos6,photons6,xpos7,ypos7,photons7,xpos8,ypos8,photons8,xpos9,ypos9,photons9,xpos10,ypos10,photons10,xpos11,ypos11,photons11,xpos12,ypos12,photons12,xpos13,ypos13,photons13,xpos14,ypos14,photons14,xpos15,ypos15,photons15
71.3957,-13.8435,16.0778,136039,-75,-75,160,-75,-25,130,-75,25,133,-75,75,139,-25,-75,164,-25,-25,160,-25,25,155,-25,75,140,25,-75,185,25,-25,179,25,25,178,25,75,164,75,-75,207,75,-25,553,75,25,194,75,75,189
13.4831,-64.9582,23.534,298,-75,-75,2,-75,-25,1,-75,25,1,-75,75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-75,1,25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,75,-75,2,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
28.2734,22.3139,-2.20661,332969,-75,-75,337,-75,-25,343,-75,25,342,-75,75,317,-25,-75,340,-25,-25,399,-25,25,403,-25,75,394,25,-75,371,25,-25,442,25,25,823,25,75,434,75,-75,409,75,-25,455,75,25,532,75,75,462
25.3009,-12.2868,22.5657,3422,-75,-75,2,-75,-25,4,-75,25,3,-75,75,2,-25,-75,4,-25,-25,2,-25,25,3,-25,75,3,25,-75,3,25,-25,6,25,25,4,-99.9,-99.9,-1,75,-75,7,75,-25,4,75,25,6,75,75,2
-21.6076,-91.5891,15.6915,337,-99.9,-99.9,-1,-75,-25,2,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,75,1,-99.9,-99.9,-1,25,-25,2,-99.9,-99.9,-1,25,75,1,75,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-4.28644,30.6672,-2.74921,9856,-75,-75,10,-75,-25,6,-75,25,10,-75,75,9,-25,-75,9,-25,-25,7,-25,25,18,-25,75,22,25,-75,11,25,-25,13,25,25,14,25,75,13,75,-75,11,75,-25,11,75,25,9,75,75,18
91.6069,20.8129,-8.28724,260224,-75,-75,255,-75,-25,268,-75,25,262,-75,75,267,-25,-75,250,-25,-25,260,-25,25,255,-25,75,256,25,-75,291,25,-25,299,25,25,342,25,75,305,75,-75,315,75,-25,453,75,25,651,75,75,398
34.0951,-67.3788,-9.70885,68252,-75,-75,82,-75,-25,76,-75,25,67,-75,75,71,-25,-75,87,-25,-25,70,-25,25,49,-25,75,70,25,-75,172,25,-25,79,25,25,70,25,75,53,75,-75,128,75,-25,91,75,25,62,75,75,67
48.4652,-57.5252,12.1156,47,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,75,25,1,-99.9,-99.9,-1
-69.2324,-62.3409,10.2094,239847,-75,-75,937,-75,-25,384,-75,25,257,-75,75,270,-25,-75,347,-25,-25,340,-25,25,274,-25,75,231,25,-75,260,25,-25,277,25,25,261,25,75,202,75,-75,276,75,-25,241,75,25,238,75,75,215
-13.2765,83.6449,10.3485,99125,-75,-75,108,-75,-25,109,-75,25,132,-75,75,148,-25,-75,82,-25,-25,115,-25,25,131,-25,75,340,25,-75,86,25,-25,96,25,25,115,25,75,163,75,-75,83,75,-25,82,75,25,103,75,75,125
11.632,36.3583,23.4907,88587,-75,-75,91,-75,-25,98,-75,25,98,-75,75,96,-25,-75,104,-25,-25,89,-25,25,105,-25,75,106,25,-75,101,25,-25,119,25,25,108,25,75,126,75,-75,83,75,-25,101,75,25,118,75,75,120
-19.3154,-9.29674,20.7884,93,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-28.4326,50.5802,17.6628,8630,-75,-75,11,-75,-25,15,-75,25,11,-75,75,14,-25,-75,5,-25,-25,10,-25,25,7,-25,75,12,25,-75,6,25,-25,8,25,25,18,25,75,12,75,-75,10,75,-25,7,75,25,10,75,75,11
-7.02875,4.15431,3.46964,8587,-75,-75,14,-75,-25,9,-75,25,4,-75,75,10,-25,-75,14,-25,-25,15,-25,25,15,-25,75,9,25,-75,11,25,-25,10,25,25,16,25,75,12,75,-75,11,75,-25,14,75,25,12,75,75,14
6.49312,-84.1031,14.0152,80973,-75,-75,107,-75,-25,87,-75,25,88,-75,75,88,-25,-75,119,-25,-25,105,-25,25,86,-25,75,78,25,-75,153,25,-25,122,25,25,95,25,75,83,75,-75,111,75,-25,95,75,25,98,75,75,71
-36.2696,-62.9102,7.18153,332422,-75,-75,536,-75,-25,458,-75,25,385,-75,75,354,-25,-75,985,-25,-25,440,-25,25,389,-25,75,323,25,-75,447,25,-25,399,25,25,357,25,75,348,75,-75,369,75,-25,386,75,25,334,75,75,332
66.5219,-86.9586,-14.6997,374829,-75,-75,393,-75,-25,370,-75,25,352,-75,75,382,-25,-75,442,-25,-25,382,-25,25,373,-25,75,375,25,-75,660,25,-25,471,25,25,391,25,75,355,75,-75,880,75,-25,522,75,25,409,75,75,391
-73.9992,32.0828,18.8601,166,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,-25,2,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-75,1,-99.9,-99.9,-1,25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
54.5301,-59.7534,-22.188,12503,-75,-75,12,-75,-25,16,-75,25,10,-75,75,16,-25,-75,12,-25,-25,19,-25,25,14,-25,75,22,25,-75,30,25,-25,17,25,25,12,25,75,17,75,-75,31,75,-25,16,75,25,13,75,75,16
-0.0806332,1.88796,-16.1902,114,-99.9,-99.9,-1,-75,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,-25,1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-22.1147,34.3893,-14.9197,87,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,-25,1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
88.4792,-53.4285,-4.68228,62329,-75,-75,62,-75,-25,55,-75,25,59,-75,75,65,-25,-75,65,-25,-25,79,-25,25,65,-25,75,52,25,-75,82,25,-25,89,25,25,65,25,75,71,75,-75,150,75,-25,125,75,25,80,75,75,64
-24.8562,64.8261,-15.8399,41834,-75,-75,43,-75,-25,53,-75,25,41,-75,75,76,-25,-75,44,-25,-25,37,-25,25,51,-25,75,87,25,-75,56,25,-25,37,25,25,54,25,75,60,75,-75,42,75,-25,46,75,25,41,75,75,46
-61.2437,5.20162,-20.422,54168,-75,-75,68,-75,-25,92,-75,25,90,-75,75,72,-25,-75,54,-25,-25,93,-25,25,89,-25,75,62,25,-75,56,25,-25,55,25,25,71,25,75,75,75,-75,44,75,-25,44,75,25,54,75,75,55
58.8899,-58.9987,-18.8668,247554,-75,-75,284,-75,-25,236,-75,25,219,-75,75,235,-25,-75,298,-25,-25,243,-25,25,255,-25,75,246,25,-75,386,25,-25,344,25,25,252,25,75,243,75,-75,641,75,-25,447,75,25,263,75,75,283
-27.7031,-2.47455,-8.69055,116,-75,-75,1,-75,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-26.915,33.5753,8.61912,56,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-2.25786,56.3447,13.0105,390184,-75,-75,396,-75,-25,451,-75,25,515,-75,75,542,-25,-75,408,-25,-25,437,-25,25,519,-25,75,598,25,-75,385,25,-25,432,25,25,474,25,75,569,75,-75,368,75,-25,433,75,25,510,75,75,562
81.4301,-91.8942,12.8719,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-50.7174,79.8408,-13.3336,417254,-75,-75,420,-75,-25,493,-75,25,612,-75,75,936,-25,-75,387,-25,-25,435,-25,25,559,-25,75,744,25,-75,401,25,-25,432,25,25,464,25,75,526,75,-75,387,75,-25,368,75,25,409,75,75,442
80.8841,56.1142,-24.1462,215941,-75,-75,234,-75,-25,245,-75,25,218,-75,75,204,-25,-75,189,-25,-25,193,-25,25,249,-25,75,260,25,-75,208,25,-25,224,25,25,300,25,75,359,75,-75,200,75,-25,275,75,25,445,75,75,547
63.3392,49.8689,12.8657,93835,-75,-75,87,-75,-25,103,-75,25,80,-75,75,72,-25,-75,99,-25,-25,107,-25,25,86,-25,75,117,25,-75,87,25,-25,124,25,25,124,25,75,138,75,-75,108,75,-25,108,75,25,132,75,75,185
80.4012,20.969,16.2681,145520,-75,-75,145,-75,-25,154,-75,25,143,-75,75,145,-25,-75,131,-25,-25,124,-25,25,146,-25,75,156,25,-75,169,25,-25,169,25,25,182,25,75,203,75,-75,216,75,-25,205,75,25,428,75,75,229
-2.7382,-86.028,6.08016,44341,-75,-75,62,-75,-25,46,-75,25,44,-75,75,45,-25,-75,78,-25,-25,63,-25,25,41,-25,75,44,25,-75,79,25,-25,60,25,25,39,25,75,45,75,-75,68,75,-25,55,75,25,50,75,75,34
-39.0855,-82.4677,-5.71591,1106,-75,-75,3,-75,-25,3,-75,25,2,-75,75,3,-99.9,-99.9,-1,-25,-25,2,-25,25,1,-99.9,-99.9,-1,25,-75,2,-99.9,-99.9,-1,25,25,2,25,75,1,-99.9,-99.9,-1,75,-25,1,-99.9,-99.9,-1,75,75,1
-63.8564,-22.7731,-24.5626,170445,-75,-75,262,-75,-25,345,-75,25,252,-75,75,209,-25,-75,246,-25,-25,280,-25,25,214,-25,75,178,25,-75,190,25,-25,203,25,25,184,25,75,153,75,-75,188,75,-25,181,75,25,184,75,75,185
-93.067,-57.3289,-12.8229,2560,-75,-75,9,-75,-25,5,-75,25,4,-75,75,1,-25,-75,4,-25,-25,5,-25,25,5,-99.9,-99.9,-1,25,-75,4,-99.9,-99.9,-1,25,25,1,25,75,2,75,-75,4,75,-25,2,75,25,3,75,75,7
-72.1915,-35.3086,4.20607,79,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-75,75,1,-99.9,-99.9,-1,-25,-25,2,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
27.5585,-32.2354,-7.27699,213,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-75,75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1,-99.9,-99.9,-1,75,-75,1,75,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-20.5004,75.5741,-4.34393,108598,-75,-75,118,-75,-25,109,-75,25,130,-75,75,166,-25,-75,89,-25,-25,124,-25,25,169,-25,75,200,25,-75,102,25,-25,118,25,25,140,25,75,186,75,-75,126,75,-25,104,75,25,125,75,75,160
-94.0388,15.5933,-3.62902,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
