vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3,xpos4,ypos4,photons4,xpos5,ypos5,photons5,xpos6,ypos6,photons6,xpos7,ypos7,photons7,xpos8,ypos8,photons8,xpos9,ypos9,photons9,xpos10,ypos10,photons10,xpos11,ypos11,photons11,xpos12,ypos12,photons12,xpos13,ypos13,photons13,xpos14,ypos14,photons14,xpos15,ypos15,photons15
8.04828,-18.1875,10.8209,126,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-41.8147,39.1653,-15.026,585635,-75,-75,266,-75,-25,340,-75,25,589,-75,75,584,-25,-75,222,-25,-25,321,-25,25,563,-25,75,496,25,-75,235,25,-25,231,25,25,293,25,75,352,75,-75,206,75,-25,215,75,25,232,75,75,273
31.9499,-26.1451,-22.8847,108,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,75,25,1,-99.9,-99.9,-1
28.8734,-43.7283,24.3748,34519,-75,-75,25,-75,-25,16,-75,25,16,-75,75,5,-25,-75,22,-25,-25,16,-25,25,12,-25,75,10,25,-75,28,25,-25,19,25,25,17,25,75,10,75,-75,30,75,-25,32,75,25,9,75,75,20
-19.3423,33.2781,12.331,148025,-75,-75,61,-75,-25,64,-75,25,109,-75,75,107,-25,-75,54,-25,-25,83,-25,25,153,-25,75,112,25,-75,57,25,-25,73,25,25,116,25,75,93,75,-75,57,75,-25,60,75,25,68,75,75,61
39.4769,7.19757,-24.2724,64,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-37.4003,-40.8972,13.4209,92520,-75,-75,92,-75,-25,77,-75,25,66,-75,75,41,-25,-75,87,-25,-25,72,-25,25,45,-25,75,33,25,-75,72,25,-25,47,25,25,41,25,75,32,75,-75,40,75,-25,33,75,25,29,75,75,28
25.9832,26.4933,3.94658,275668,-75,-75,110,-75,-25,122,-75,25,127,-75,75,144,-25,-75,106,-25,-25,119,-25,25,173,-25,75,143,25,-75,103,25,-25,150,25,25,629,25,75,220,75,-75,140,75,-25,166,75,25,235,75,75,235
1.97578,18.7488,-5.46835,50592,-75,-75,9,-75,-25,24,-75,25,28,-75,75,28,-25,-75,14,-25,-25,33,-25,25,42,-25,75,27,25,-75,25,25,-25,33,25,25,59,25,75,35,75,-75,20,75,-25,25,75,25,30,75,75,33
-27.6345,-10.982,1.32345,265031,-75,-75,162,-75,-25,212,-75,25,172,-75,75,130,-25,-75,178,-25,-25,610,-25,25,193,-25,75,128,25,-75,157,25,-25,184,25,25,141,25,75,120,75,-75,141,75,-25,124,75,25,122,75,75,131
-42.7635,36.0576,6.87071,327,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
