vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
19.952,30.098,3.58853,298874,-25,-25,145,-25,25,261,25,-25,192,25,25,499
32.5191,-25.7285,23.4952,2204,-25,-25,1,-99.9,-99.9,-1,25,-25,4,25,25,3
35.5838,-4.18961,5.58151,185,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-21.3678,11.5393,-1.82568,67689,-25,-25,49,-25,25,121,25,-25,32,25,25,47
-24.8702,-33.4165,-10.0701,95,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
33.9121,8.0956,19.4281,18262,-25,-25,12,-25,25,16,25,-25,14,25,25,35
-25.9334,11.9096,-1.43642,133,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
31.1931,12.5063,-8.93777,114499,-25,-25,61,-25,25,70,25,-25,73,25,25,170
1.3506,40.4512,20.7078,96,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
38.5441,-17.1746,-0.718621,351922,-25,-25,196,-25,25,156,25,-25,578,25,25,225
14.4358,-10.4334,1.93173,6872,-25,-25,3,-25,25,3,25,-25,12,25,25,6
-25.941,-17.4678,2.1583,820,-25,-25,2,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
31.787,13.4686,-15.1712,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-4.6182,-0.103559,23.0004,33162,-25,-25,34,-25,25,26,25,-25,23,25,25,25
22.9572,-27.2488,12.1156,47,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-32.7943,-29.5299,10.2094,285965,-25,-25,497,-25,25,157,25,-25,157,25,25,127
34.7566,-9.30764,-23.4229,530,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-4.12724,0.604825,-18.1834,33011,-25,-25,38,-25,25,27,25,-25,22,25,25,16
-28.9086,-26.8505,13.1177,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-26.441,1.86928,-20.0499,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-21.6219,-21.5465,19.8844,550,-25,-25,2,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-7.77869,-6.51771,8.55919,11550,-25,-25,16,-25,25,9,25,-25,8,25,25,9
10.4421,-22.935,4.70251,146437,-25,-25,98,-25,25,84,25,-25,325,25,25,90
2.48635,-8.8586,-21.0644,12664,-25,-25,5,-25,25,7,25,-25,4,25,25,8
-41.0837,-40.3412,2.67659,102,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
25.1519,41.5086,-13.9367,279147,-25,-25,118,-25,25,176,25,-25,161,25,25,314
8.72312,24.3385,16.6811,65799,-25,-25,42,-25,25,55,25,-25,51,25,25,62
18.7388,28.0655,-18.011,74,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
8.27184,29.8832,-8.74802,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-9.83946,43.9607,16.9768,101,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
32.857,-29.3467,18.8677,1072,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,2,-99.9,-99.9,-1
36.5271,-11.1012,-7.51434,94,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-10.0865,-1.71332,-8.36129,90,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-5.83713,25.9138,13.9725,86282,-25,-25,44,-25,25,75,25,-25,50,25,25,87
24.1318,6.55818,17.1513,130,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
28.3727,-10.1376,-7.726,150,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
12.4788,14.8897,-22.726,230,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
10.9427,41.6758,-18.895,300862,-25,-25,115,-25,25,177,25,-25,135,25,25,252
29.3448,-23.4896,18.2387,35732,-25,-25,18,-25,25,25,25,-25,206,25,25,29
32.4183,8.56558,-23.646,95675,-25,-25,55,-25,25,44,25,-25,86,25,25,159
25.6314,-30.4847,3.96926,292238,-25,-25,207,-25,25,169,25,-25,646,25,25,232
44.5717,-33.2939,-15.8475,122,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
10.1731,-25.5192,14.8521,3472,-25,-25,4,-99.9,-99.9,-1,25,-25,2,25,25,3
-36.4597,21.9971,-3.66256,29352,-25,-25,18,-25,25,46,25,-25,12,25,25,20
7.64441,8.12458,16.6429,5236,-25,-25,3,-25,25,4,25,-25,1,25,25,6
24.9878,26.7381,20.9756,111,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-2.6248,-6.9372,-20.425,161251,-25,-25,172,-25,25,153,25,-25,166,25,25,107
-3.85674,41.4228,15.1259,75465,-25,-25,39,-25,25,76,25,-25,34,25,25,56
4.16529,-13.6697,23.9593,5126,-25,-25,5,-25,25,3,25,-25,7,25,25,4
-20.3078,36.3547,-1.15419,78789,-25,-25,50,-25,25,151,25,-25,38,25,25,53
-26.6924,13.6728,3.46052,8512,-25,-25,9,-25,25,23,25,-25,3,25,25,3
36.4868,-36.6287,-11.5467,96,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-12.0496,17.9041,23.3781,130343,-25,-25,77,-25,25,117,25,-25,82,25,25,105
30.0198,-32.7433,14.7864,57,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-23.9133,-10.8639,17.2148,132,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
35.1784,43.2504,-17.0042,4653,-99.9,-99.9,-1,-25,25,2,-99.9,-99.9,-1,25,25,6
-29.5159,-4.3491,-17.3895,149286,-25,-25,203,-25,25,179,25,-25,83,25,25,83
-43.3673,-42.2551,-23.5225,22819,-25,-25,29,-25,25,14,25,-25,14,25,25,7
-4.03536,-29.5035,8.74444,228846,-25,-25,205,-25,25,126,25,-25,192,25,25,109
-44.0737,-0.570157,-0.2271,40,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
9.1494,30.2801,-20.3829,102,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
14.8761,36.0463,18.0514,129797,-25,-25,49,-25,25,108,25,-25,61,25,25,123
17.6414,-20.9213,-10.6018,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
