vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
33.7288,8.54228,11.1463,83,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-44.4674,30.209,15.6043,122,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-0.289385,9.63393,4.09604,150376,-25,-25,115,-25,25,115,25,-25,93,25,25,93
0.913343,-7.65564,24.7872,155,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
2.47847,-7.57489,-23.3872,83,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
13.3239,34.4237,-12.2506,17789,-25,-25,8,-25,25,15,25,-25,12,25,25,25
4.11803,21.3813,-19.7934,78,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
15.727,34.7985,-12.1732,3645,-25,-25,3,-25,25,2,25,-25,3,25,25,3
-29.236,-27.7203,-10.7576,42,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
37.1534,-22.678,10.6623,318567,-25,-25,177,-25,25,153,25,-25,732,25,25,213
-29.2842,35.6296,12.8648,1245,-25,-25,1,-25,25,2,-99.9,-99.9,-1,25,25,1
37.8688,27.3586,18.8782,238563,-25,-25,109,-25,25,146,25,-25,157,25,25,226
-34.3939,17.1911,13.5421,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
29.5099,-41.7803,-13.7863,49,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-11.0052,-1.55014,2.67163,20955,-25,-25,24,-25,25,30,25,-25,21,25,25,15
-4.1219,29.0841,7.43186,26424,-25,-25,13,-25,25,27,25,-25,14,25,25,20
12.9178,-43.7543,-12.6946,24227,-25,-25,25,-25,25,11,25,-25,32,25,25,7
-24.6025,1.98607,-21.5354,380,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
11.3001,-42.2722,-15.6583,100,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-10.9379,17.3546,15.3884,488,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,2
-12.3874,-21.9693,-0.359435,282234,-25,-25,299,-25,25,197,25,-25,230,25,25,185
-38.7194,-26.3113,24.662,22181,-25,-25,19,-25,25,10,25,-25,10,25,25,10
17.3718,-22.9038,18.6773,18811,-25,-25,14,-25,25,9,25,-25,58,25,25,16
-6.34177,30.4085,19.6706,59510,-25,-25,38,-25,25,43,25,-25,38,25,25,34
-16.1059,-19.7939,-16.6687,31095,-25,-25,22,-25,25,12,25,-25,33,25,25,17
-3.55904,-3.69452,16.3926,81,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
34.9401,42.754,12.1044,192809,-25,-25,81,-25,25,109,25,-25,114,25,25,167
22.4985,30.2661,-9.556,490068,-25,-25,263,-25,25,323,25,-25,329,25,25,782
39.7347,-38.0481,-13.2938,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
25.0988,-43.6753,2.41335,354,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
27.7325,-23.1097,9.13674,39,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
40.6221,41.278,-5.8106,128,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-14.664,44.1126,-5.88522,99,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-33.0478,14.2452,12.6062,161166,-25,-25,138,-25,25,140,25,-25,87,25,25,78
34.6277,16.8489,10.1478,81,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-42.8582,-24.412,-5.91089,3786,-25,-25,4,-25,25,2,25,-25,2,25,25,2
-24.2889,34.0244,2.89429,116898,-25,-25,91,-25,25,258,25,-25,52,25,25,78
0.939241,-23.5309,7.41635,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
