vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3,xpos4,ypos4,photons4,xpos5,ypos5,photons5,xpos6,ypos6,photons6,xpos7,ypos7,photons7,xpos8,ypos8,photons8,xpos9,ypos9,photons9,xpos10,ypos10,photons10,xpos11,ypos11,photons11,xpos12,ypos12,photons12,xpos13,ypos13,photons13,xpos14,ypos14,photons14,xpos15,ypos15,photons15
-39.6559,-35.8034,-6.46645,89,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-14.4596,10.2389,9.98179,45,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,75,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-18.9261,-5.32847,19.4575,40071,-75,-75,26,-75,-25,27,-75,25,31,-75,75,25,-25,-75,29,-25,-25,32,-25,25,25,-25,75,16,25,-75,19,25,-25,22,25,25,21,25,75,13,75,-75,15,75,-25,18,75,25,12,75,75,24
-23.1885,24.8348,23.41,115,-99.9,-99.9,-1,-99.9,-99.9,-1,-75,25,1,-75,75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
46.7405,4.63017,24.7668,232,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
16.6372,-8.10508,10.6724,37769,-75,-75,24,-75,-25,17,-75,25,20,-75,75,15,-25,-75,17,-25,-25,26,-25,25,16,-25,75,21,25,-75,19,25,-25,30,25,25,18,25,75,23,75,-75,29,75,-25,29,75,25,21,75,75,17
7.84018,-32.2219,-1.82608,397888,-75,-75,240,-75,-25,187,-75,25,204,-75,75,144,-25,-75,291,-25,-25,267,-25,25,181,-25,75,155,25,-75,375,25,-25,395,25,25,205,25,75,176,75,-75,279,75,-25,278,75,25,176,75,75,191
-21.732,23.5449,-3.82829,9302,-75,-75,3,-75,-25,5,-75,25,10,-75,75,8,-25,-75,4,-25,-25,5,-25,25,18,-25,75,6,25,-75,5,25,-25,7,25,25,3,25,75,5,75,-75,1,75,-25,5,75,25,1,75,75,4
-32.3549,-46.228,16.0574,1883,-75,-75,4,-75,-25,1,-99.9,-99.9,-1,-75,75,1,-25,-75,3,-25,-25,1,-25,25,3,-25,75,3,25,-75,1,25,-25,2,-99.9,-99.9,-1,25,75,1,75,-75,1,75,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-42.3899,-23.5771,-23.663,30387,-75,-75,23,-75,-25,27,-75,25,18,-75,75,16,-25,-75,21,-25,-25,32,-25,25,19,-25,75,10,25,-75,14,25,-25,12,25,25,10,25,75,12,75,-75,7,75,-25,12,75,25,13,75,75,11
