vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
-23.3268,-15.0862,7.69277,169792,-25,-25,335,-25,25,83,25,-25,107,25,25,96
-43.1097,37.3045,-2.50333,158,-99.9,-99.9,-1,-25,25,3,-99.9,-99.9,-1,25,25,1
-2.58145,44.6257,-5.01036,76303,-25,-25,35,-25,25,59,25,-25,29,25,25,46
-42.0409,-37.2138,-20.0494,78,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-35.4962,19.8422,14.2457,2782,-25,-25,2,-25,25,3,25,-25,1,25,25,1
-9.5766,-2.56553,22.4793,101,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-40.7516,3.621,18.3306,79,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
31.7757,-36.7091,0.833232,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-19.9476,2.14782,33.4607,7749,-25,-25,4,-25,25,6,25,-25,4,25,25,5
-2.71541,-37.903,28.3228,97,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
-42.1115,21.6115,-19.9333,133000,-25,-25,80,-25,25,151,25,-25,55,25,25,65
36.8893,-2.46443,-11.1853,423378,-25,-25,248,-25,25,211,25,-25,311,25,25,336
18.7376,-31.2794,-24.0224,129,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
9.6185,-39.6962,23.2995,59139,-25,-25,41,-25,25,30,25,-25,42,25,25,28
-2.56532,-37.8432,33.6915,58220,-25,-25,37,-25,25,38,25,-25,36,25,25,21
27.6366,38.9024,6.06073,228478,-25,-25,90,-25,25,104,25,-25,93,25,25,333
14.5577,32.894,20.5727,39983,-25,-25,15,-25,25,16,25,-25,24,25,25,67
-26.197,-34.979,-11.2439,91,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
15.6718,-34.5857,30.0504,177,-25,-25,1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
-29.1723,-5.63238,6.49059,2360,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,25,25,1
-4.6182,-0.103559,12.1536,37494,-25,-25,29,-25,25,24,25,-25,24,25,25,23
-25.6892,-39.3579,30.974,29838,-25,-25,28,-25,25,12,25,-25,17,25,25,11
22.5504,18.345,21.8082,24500,-25,-25,14,-25,25,16,25,-25,11,25,25,80
-4.24084,32.9371,1.90053,494897,-25,-25,239,-25,25,400,25,-25,241,25,25,349
-4.14344,-10.2987,24.0812,62,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
-10.0779,0.448455,-23.4497,74431,-25,-25,63,-25,25,55,25,-25,54,25,25,49
-3.60582,10.9565,-34.1123,27590,-25,-25,18,-25,25,19,25,-25,19,25,25,26
-18.6502,7.2275,29.0044,276749,-25,-25,165,-25,25,188,25,-25,170,25,25,173
-4.46354,26.9595,-33.3453,81,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
27.5905,-17.2491,-19.5638,174,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-34.1917,11.8423,8.00703,1931,-25,-25,1,-25,25,3,25,-25,1,-99.9,-99.9,-1
30.5083,-29.3887,28.6936,69,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
38.1536,41.8899,-2.06871,4982,-25,-25,2,-25,25,1,25,-25,2,25,25,10
-27.9035,-22.9353,-1.55241,40934,-25,-25,28,-25,25,14,25,-25,13,25,25,17
43.1009,-35.4867,-27.7023,73115,-25,-25,36,-25,25,28,25,-25,69,25,25,27
-14.1871,-37.1611,-4.18799,182,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
8.72376,-19.0692,3.43104,17558,-25,-25,9,-25,25,10,25,-25,23,25,25,9
16.5813,25.7476,16.2991,471,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,25,25,2
-17.2546,41.5847,-2.32005,221765,-25,-25,110,-25,25,324,25,-25,93,25,25,143
